TACC: Starting up job 1702510
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1702510.2vWt60YW 

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
  Bidirectional          20                    64          113.264        11.301
  Bidirectional          20                   128          209.715        12.207
  Bidirectional          20                   256          365.218        14.019
  Bidirectional          20                   512          659.749        15.521
  Bidirectional          20                  1024          983.956        20.814
  Bidirectional          20                  2048         1613.133        25.392
  Bidirectional          20                  4096         2409.519        33.998
  Bidirectional          20                  8192         3193.284        51.308
  Bidirectional          20                 16384         4321.980        75.817
  Bidirectional          20                 32768         4755.673       137.806
  Bidirectional          20                 65536         5225.816       250.816
  Bidirectional          20                131072         5963.291       439.596
  Bidirectional          20                262144         5733.192       914.478
  Bidirectional          20                524288         5279.324      1986.194
  Bidirectional          20               1048576         5222.651      4015.493
  Bidirectional          20               2097152         5225.567      8026.505
  Bidirectional          20               4194304         5291.360     15853.405
  Bidirectional          20               8388608         5286.511     31735.897

Max Unidirectional Bandwith :        4998.06 for message size of  262144 bytes
Max  Bidirectional Bandwith :        9446.99 for message size of  524288 bytes

Test Parameters
---------------
Operations per measurement :       10
Process pair allocation    :    block


Rank id    0 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   10 (c558-902.stampede.tacc.utexas.edu)
Rank id    1 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   11 (c558-902.stampede.tacc.utexas.edu)
Rank id    2 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   12 (c558-902.stampede.tacc.utexas.edu)
Rank id    3 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   13 (c558-902.stampede.tacc.utexas.edu)
Rank id    4 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   14 (c558-902.stampede.tacc.utexas.edu)
Rank id    5 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   15 (c558-902.stampede.tacc.utexas.edu)
Rank id    6 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   16 (c558-902.stampede.tacc.utexas.edu)
Rank id    7 (c558-804.stampede.tacc.utexas.edu) communicated with rank id   17 (c558-902.stampede.tacc.utexas.edu)
Rank id    8 (c558-804-mic0.stampede.tacc.utexas.edu) communicated with rank id   18 (c558-902-mic0.stampede.tacc.utexas.edu)
Rank id    9 (c558-804-mic0.stampede.tacc.utexas.edu) communicated with rank id   19 (c558-902-mic0.stampede.tacc.utexas.edu)
Rank id   10 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    0 (c558-804.stampede.tacc.utexas.edu)
Rank id   11 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    1 (c558-804.stampede.tacc.utexas.edu)
Rank id   12 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    2 (c558-804.stampede.tacc.utexas.edu)
Rank id   13 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    3 (c558-804.stampede.tacc.utexas.edu)
Rank id   14 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    4 (c558-804.stampede.tacc.utexas.edu)
Rank id   15 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    5 (c558-804.stampede.tacc.utexas.edu)
Rank id   16 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    6 (c558-804.stampede.tacc.utexas.edu)
Rank id   17 (c558-902.stampede.tacc.utexas.edu) communicated with rank id    7 (c558-804.stampede.tacc.utexas.edu)
Rank id   18 (c558-902-mic0.stampede.tacc.utexas.edu) communicated with rank id    8 (c558-804-mic0.stampede.tacc.utexas.edu)
Rank id   19 (c558-902-mic0.stampede.tacc.utexas.edu) communicated with rank id    9 (c558-804-mic0.stampede.tacc.utexas.edu)


MPI_Wtick returns           0.000001000
MPI_Wtime overhead          0.000000043
Ticks for minimum sample              9

 
TACC: Shutdown complete. Exiting.
