TACC: Starting up job 1976186
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1976186.wpt9l1aA 
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
  Bidirectional           4               2097152        10110.859       829.663
  Bidirectional           4               4194304         8656.443      1938.119
  Bidirectional           4               8388608         8685.387      3863.320

  Bidirectional           8                    32           60.053         4.263
  Bidirectional           8                    64          119.040         4.301
  Bidirectional           8                   128          233.676         4.382
  Bidirectional           8                   256          439.158         4.663
  Bidirectional           8                   512          775.265         5.283
  Bidirectional           8                  1024         1312.442         6.242
  Bidirectional           8                  2048         1702.663         9.623
  Bidirectional           8                  4096         3230.817        10.142
  Bidirectional           8                  8192         3842.297        17.056
  Bidirectional           8                 16384         5979.506        21.920
  Bidirectional           8                 32768         8136.093        32.220
  Bidirectional           8                 65536         8989.548        58.322
  Bidirectional           8                131072         9360.334       112.023
  Bidirectional           8                262144         9710.856       215.960
  Bidirectional           8                524288         9665.611       433.941
  Bidirectional           8               1048576         9736.492       861.564
  Bidirectional           8               2097152         9197.230      1824.160
  Bidirectional           8               4194304         9433.402      3556.981
  Bidirectional           8               8388608         9740.117      6889.944

  Bidirectional          16                    32          115.830         4.420
  Bidirectional          16                    64          223.463         4.582
  Bidirectional          16                   128          453.056         4.520
  Bidirectional          16                   256          822.791         4.978
  Bidirectional          16                   512         1568.938         5.221
  Bidirectional          16                  1024         2332.637         7.024
  Bidirectional          16                  2048         3641.732         8.998
  Bidirectional          16                  4096         7048.151         9.298
  Bidirectional          16                  8192         7566.141        17.323
  Bidirectional          16                 16384        11377.397        23.041
  Bidirectional          16                 32768        15213.943        34.461
  Bidirectional          16                 65536        16529.038        63.438
  Bidirectional          16                131072        19058.138       110.040
