TACC: Starting up job 1779636
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779636.wSEAuQIH 

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
Rank id   49 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   19 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   50 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   20 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   51 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   21 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   52 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   22 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   53 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   23 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   54 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   24 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   55 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   25 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   56 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   26 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   57 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   27 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   58 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   28 (c409-001-mic0.stampede.tacc.utexas.edu)
Rank id   59 (c409-001-mic0.stampede.tacc.utexas.edu) communicated with rank id   29 (c409-001-mic0.stampede.tacc.utexas.edu)


MPI_Wtick returns           0.000001000
MPI_Wtime overhead          0.000001907
Ticks for minimum sample            115

 
TACC: Shutdown complete. Exiting.
