TACC: Starting up job 1779644
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779644.lMFvU0Dt 


Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Bidirectional          16                  8192         4272.271        30.680
  Bidirectional          16                 16384         6009.574        43.621
  Bidirectional          16                 32768         7671.725        68.340
  Bidirectional          16                 65536         8813.014       118.980
  Bidirectional          16                131072         9371.503       223.780
  Bidirectional          16                262144         9384.902       446.920
  Bidirectional          16                524288         9378.198       894.480
  Bidirectional          16               1048576         9386.805      1787.319
  Bidirectional          16               2097152         9407.687      3566.704
  Bidirectional          16               4194304         9141.873      7340.822
  Bidirectional          16               8388608         9270.539     14477.878

  Bidirectional          32                    32          144.612         7.081
  Bidirectional          32                    64          246.130         8.321
  Bidirectional          32                   128          371.698        11.020
  Bidirectional          32                   256          618.871        13.237
  Bidirectional          32                   512         1066.741        15.359
  Bidirectional          32                  1024         1673.636        19.579
  Bidirectional          32                  2048         2520.428        26.002
  Bidirectional          32                  4096         4272.271        30.680
  Bidirectional          32                  8192         5644.890        46.439
  Bidirectional          32                 16384         7571.873        69.242
  Bidirectional          32                 32768         8966.821       116.940
  Bidirectional          32                 65536         9342.240       224.481
  Bidirectional          32                131072         9384.501       446.939
  Bidirectional          32                262144         9395.829       892.801
  Bidirectional          32                524288         9386.154      1787.443
  Bidirectional          32               1048576         9376.211      3578.677
  Bidirectional          32               2097152         9397.027      7141.500
  Bidirectional          32               4194304         9190.666     14603.701
  Bidirectional          32               8388608         9384.739     28603.401

  Bidirectional          64                    32          174.734        11.721
  Bidirectional          64                    64          366.934        11.163
  Bidirectional          64                   128          628.149        13.041
  Bidirectional          64                   256         1058.526        15.478
  Bidirectional          64                   512         1816.534        18.039
  Bidirectional          64                  1024         2608.940        25.120
  Bidirectional          64                  2048         3781.509        34.661
  Bidirectional          64                  4096         6073.979        43.159
  Bidirectional          64                  8192         6735.140        77.844
  Bidirectional          64                 16384         8110.885       129.280
  Bidirectional          64                 32768         8730.787       240.202
  Bidirectional          64                 65536         9012.206       465.403
  Bidirectional          64                131072         9576.480       875.959
  Bidirectional          64                262144         9342.786      1795.740
  Bidirectional          64                524288         8797.193      3814.220
  Bidirectional          64               1048576         8769.101      7652.879
  Bidirectional          64               2097152         8829.324     15201.359
  Bidirectional          64               4194304         8739.061     30716.739
  Bidirectional          64               8388608         8770.670     61212.077

  Bidirectional         128                    32          333.590        12.279
  Bidirectional         128                    64          695.260        11.783
  Bidirectional         128                   128         1160.410        14.119
  Bidirectional         128                   256         1990.715        16.460
  Bidirectional         128                   512         3542.241        18.501
  Bidirectional         128                  1024         5087.505        25.764
